Prefix,First Name,Middle Name,Last Name,Company Name,Address1,Address2,City,State,Contact Source,Contact Type,In Contact Lead,Default Email,Email2,Email3,Email4,Email5,Default Phone,Phone2,Phone3,Address Type,Email Type,Phone Type,Contact Method,In Lead
Mr.,Jony,S,Dep,American Express PVT,100 Federal Way,1401 Vermont Ave,Burbank,CA,914-668-1045,Seller,Office,florencio@hollberg.com,monty@berniard.com,,fay@alpis.com,ronny@bisikirski.com,508-677-7828,912-232-1827,856-845-9114,Home,Personal,Mobile,Email,0
Mr.,Owen,O,Esquivez,Fadex Pvt,4107 Medical Pky,250 Esten Ave,Minnetonka,MN,831-335-6440,"Buyer,Seller",Home,owen@grzegorek.com,dong@mariner.com,,dillon@walde.com,julian@ehigiator.com,401-846-4858,609-723-0388,209-384-3006,Office,Office,Phone,Phone,0
Ms.,Florencio,F,Hollberg,Visa Pvt ,11055 Flintkote Ave #a,7272 Saturn Dr,Burbank,CA,904-355-3289,"Seller,Referral",Office,florencio@hollberg.com,jim@baudry.com,,lisa@aday.com,dionne@zeminski.com,951-699-8965,636-938-2974,513-241-7245,Home,Other,LandLine,Email,1
Mrs.,Florentino,F,Derocco,Oracle Pvt,4123 Rowland Ave,8650 N 22nd Ave,Richmond,VA,773-384-6389,Seller,Home,florentino@derocco.com,oswaldo@medema.com,,dalia@bonomo.com,rosendo@banaszek.com,201-393-4338,706-771-7335,717-394-2006,Office,Personal,Mobile,Phone,0
Mr.,Felipe,F,Croff,Facebook Inc,8804 3rd Ave,2950 4th Ave S,Arlington,VA,610-544-6632,"Buyer,Seller",Office,felipe@croff.com,jackson@parrot.com,,johnathon@hertlein.com,nellie@stahly.com,310-327-1390,401-454-3019,401-725-3637,Home,Office,Phone,Email,1
Mr.,Carmen,C,Diluca,Microsoft Pvt,4602 N Orange Blossom Trl,1725 Monrovia Ave,Toms River,NJ,516-997-9473,"Seller,Referral",Home,carmen@diluca.com,elliot@valot.com,,eddie@scharf.com,jaime@seary.com,561-848-4732,512-458-7928,714-848-3422,Office,Other,LandLine,Phone,0
Mr.,Dexter,D,Pegg,Google Pvt,6000 Dawson Blvd,1201 W Custer Pl,Mesa,AZ,925-462-3504,"Buyer,Seller",Office,dexter@pegg.com,joan@hanan.com,,jan@hoaglin.com,jenna@romane.com,215-535-7015,858-558-0207,602-371-2171,Home,Personal,Mobile,Email,0
Mr.,Everette,E,Capozzi,Nokia Nic,511 School House Rd,701 North St,Skokie,IL,414-272-6811,"Seller,Referral",Home,everette@capozzi.com,lenora@rudden.com,,morton@merkwan.com,nichole@prevet.com,858-452-4027,626-350-0837,612-823-9307,Office,Office,Phone,Phone,1
Ms.,Reid,R,Bergum,American Express PVT,3835 Viscount Ave,525 York Rd,Alexandria,VA,719-447-6531,"Buyer,Seller,Referral",Office,reid@bergum.com,maxine@virgen.com,,demetrius@rasavong.com,keri@mani.com,215-750-3456,718-745-9933,949-642-7741,Home,Other,LandLine,Email,0
Ms.,Joel,J,Chandsawangbh,Fadex Pvt,1763 Whitney Ave,619 W College Ave,La Crosse,WI,806-791-8431,Referral,Home,joel@chandsawangbh.com,araceli@sulcer.com,,joann@komsthoeft.com,alejandro@himmelright.com,626-579-4995,352-383-6489,303-777-7514,Office,Personal,Mobile,Phone,1
Mrs.,Danny,D,Creenan,Visa Pvt ,1658 G A Hwy,1211 Ford Rd,Los Angeles,CA,262-547-0891,Buyer,Office,danny@creenan.com,roxanne@hippler.com,,wilhelmina@faulkenberry.com,mary@mcmurdo.com,616-364-3647,770-729-5239,845-344-2073,Home,Office,Phone,Email,1
Mrs.,Gordon,G,Delamora,Oracle Pvt,350 Whitney St,460 Acorn Ln,Carteret,NJ,602-277-3028,Seller,Home,gordon@delamora.com,derrick@blouin.com,,chandra@pinion.com,mayme@fear.com,303-783-5230,215-723-2298,215-672-8611,Office,Other,LandLine,Phone,0
Mr.,King,K,Rommel,Facebook Inc,332 Muriel St Ne,2 Fair Lawn Ave,New York,NY,212-983-5332,"Buyer,Seller",Office,king@rommel.com,elden@corse.com,,devon@fausnaugh.com,sydney@yakulis.com,714-630-8109,901-368-0197,814-238-6828,Home,Personal,Mobile,Email,1
Mr.,Marisa,M,Kostelecky,Microsoft Pvt,544 Armstrong Way,30 Cleveland St,Washington,DC,770-432-1920,"Seller,Referral",Home,marisa@kostelecky.com,chi@poncio.com,,dewitt@heinecke.com,lorene@wimes.com,303-277-5848,203-288-3454,215-245-7889,Office,Office,Phone,Phone,1
Ms.,Virgie,V,Esquivez,Google Pvt,200 Hembree Park Dr,4830 Hudson Dr,Secaucus,NJ,610-372-4331,Seller,Office,virgie@esquivez.com,camilla@bokor.com,,diego@lueckenhoff.com,ross@ritenour.com,303-235-6939,508-677-3058,610-269-8896,Home,Other,LandLine,Email,1
Mrs.,Freddy,F,Lespier,Nokia Nic,1410 Pinewood St,7310 Temple Terrace Hwy,Parsippany,NJ,330-535-7537,"Buyer,Seller",Home,freddy@lespier.com,angela@vitek.com,,stan@cersey.com,chang@lingad.com,610-253-6217,585-458-6005,201-791-9733,Office,Personal,Mobile,Phone,0
Mr.,Loraine,L,Schuit,American Express PVT,602 Main St,532 Franklin St,Alexandria,VA,314-993-2102,"Seller,Referral",Office,loraine@schuit.com,roxanna@kalfa.com,,althea@bassford.com,hung@hantz.com,717-896-8265,505-292-7671,415-863-8251,Home,Office,Phone,Email,1
Mr.,Wilfred,W,Gapen,Fadex Pvt,250 Telser Rd #a,7180 Scout Ave,Grants Pass,OR,630-844-9345,"Buyer,Seller",Home,wilfred@gapen.com,lucille@mizwicki.com,,graig@loeber.com,christian@stotts.com,972-380-4285,323-806-8348,330-688-9567,Office,Other,LandLine,Phone,0
